TIME_Year;FACT_INDICATOR_FINANCE_Key;UTILITY_Country;INDICATOR_Name;FACT_INDICATOR_FINANCE_Name_In_Document;CURRENCY_Name;INDICATOR_Theme;UTILITY_Name;FACT_INDICATOR_FINANCE_Holding_Company;FACT_INDICATOR_Value;FACT_INDICATOR_FINANCE_Order_Magnitude;FACT_INDICATOR_FINANCE_Mantainer;FACT_INDICATOR_FINANCE_Observations;FACT_INDICATOR_FINANCE_Document;FACT_INDICATOR_FINANCE_Link;FACT_USD_RATE;TIME_Key;FACT_INDICATOR_Value_USD;FACT_INDICATOR_Value_Local
2001;1007595;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;25152;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;25152000
2002;1007596;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;24289;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;24289000
2003;1007597;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;26220;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;26220000
2004;1007598;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;20636;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;20636000
2005;1007599;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;29591;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;29591000
2006;1007600;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;56917;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;56917000
2007;1007601;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;45019;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;45019000
2008;1007602;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;37069;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;37069000
2009;1007603;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;50474;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;527;;50474000
2010;1007604;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;30348;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;528;;30348000
2011;1007605;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;44649;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;529;;44649000
2012;1007606;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;42369;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;530;;42369000
2013;1007607;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;51141;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;531;;51141000
2014;1007608;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;92446;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;532;;92446000
2015;1007609;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;89586;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;533;;89586000
2016;1007610;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;93143;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;534;;93143000
2017;1007611;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;87721;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;535;;87721000
2018;1007612;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;70610;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;536;;70610000
2019;1007613;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;81443;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;537;;81443000
2020;1007614;BELIZE;ACTIVOS CORRIENTES;TOTAL CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;143236;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;538;;143236000
2000;1007615;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;196533;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;518;;196533000
2001;1007616;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;251802;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;519;;251802000
2002;1007617;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;273229;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;520;;273229000
2003;1007618;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;311900;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;521;;311900000
2004;1007619;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;325836;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;522;;325836000
2005;1007620;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;344082;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;523;;344082000
2006;1007621;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;352036;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;524;;352036000
2007;1007622;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;384719;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;525;;384719000
2008;1007623;BELIZE;ACTIVOS NO CORRIENTES;TOTAL NON-CURRENT ASSETS;;ACTIVOS;BELIZE-BEL;EMPRESA;398188;1000;Daniel Ferreira;;ANNUAL REPORT;REPOSITORIO;;526;;398188000
